============================================================
BRANPY AI FOUNDATION MODEL v1 — TREINO FINAL
Tamanho: small | Epochs: 10 | LR: 0.0003
Max len: 256 | Vocab: 8000
============================================================

[1/6] Gerando dataset grande...
  [1a] generate_smart.py (~25K linhas)...
  28000 linhas do generate_smart
  [1b] generate_combined.py (templates + fatos)...
  675 linhas do generate_combined

  TOTAL: 28675 linhas
  Corpus salvo: D:\BRANPY-AI\from_scratch\data\corpus_final.txt
  Pares pergunta-resposta: 14168

[2/6] Treinando tokenizer BPE próprio...
[Tokenizer] Treinando BPE com vocab_size=8000
[Tokenizer] Corpus: 28675 textos
  Merges: 1000/1584
[Tokenizer] Vocab final: 1054 tokens
[Tokenizer] Salvo em weights/bran9bpy_final\tokenizer.json
  Vocab final: 1054 tokens

[3/6] Criando modelo transformer do zero...
[Model] BranPy-5.1M — 6 layers, 256d, 8h
  Parametros: 5,139,968 (5.14M)

[4/6] Preparando dataset...
  14168 exemplos, 3542 batches

[5/6] Treinando...
  Step 1/35420 (0.0%) | Loss: 7.1651 | Tempo: 1.2s | ETA: 752min
  Step 50/35420 (0.1%) | Loss: 2.7829 | Tempo: 1.1s | ETA: 702min
  Step 100/35420 (0.3%) | Loss: 2.9625 | Tempo: 1.1s | ETA: 679min
  Step 150/35420 (0.4%) | Loss: 2.3871 | Tempo: 1.3s | ETA: 680min
  Step 200/35420 (0.6%) | Loss: 2.4970 | Tempo: 1.2s | ETA: 680min
  Step 250/35420 (0.7%) | Loss: 2.2621 | Tempo: 1.2s | ETA: 678min
  Step 300/35420 (0.8%) | Loss: 2.1398 | Tempo: 1.1s | ETA: 676min
  Step 350/35420 (1.0%) | Loss: 2.0165 | Tempo: 1.2s | ETA: 677min
  Step 400/35420 (1.1%) | Loss: 1.9998 | Tempo: 1.1s | ETA: 677min
  Step 450/35420 (1.3%) | Loss: 1.7600 | Tempo: 1.1s | ETA: 679min
  Step 500/35420 (1.4%) | Loss: 1.9374 | Tempo: 1.1s | ETA: 677min
  Step 550/35420 (1.6%) | Loss: 1.7795 | Tempo: 1.2s | ETA: 676min
  Step 600/35420 (1.7%) | Loss: 1.5973 | Tempo: 1.1s | ETA: 674min
  Step 650/35420 (1.8%) | Loss: 1.3160 | Tempo: 1.1s | ETA: 673min
  Step 700/35420 (2.0%) | Loss: 1.5870 | Tempo: 1.1s | ETA: 672min
  Step 750/35420 (2.1%) | Loss: 1.3415 | Tempo: 1.1s | ETA: 670min
  Step 800/35420 (2.3%) | Loss: 1.1886 | Tempo: 1.2s | ETA: 669min
  Step 850/35420 (2.4%) | Loss: 1.0976 | Tempo: 1.1s | ETA: 667min
  Step 900/35420 (2.5%) | Loss: 1.6626 | Tempo: 1.1s | ETA: 666min
  Step 950/35420 (2.7%) | Loss: 1.1733 | Tempo: 1.1s | ETA: 664min
  Step 1000/35420 (2.8%) | Loss: 1.4718 | Tempo: 1.1s | ETA: 664min
  Step 1050/35420 (3.0%) | Loss: 1.3333 | Tempo: 1.1s | ETA: 662min
  Step 1100/35420 (3.1%) | Loss: 1.2788 | Tempo: 1.1s | ETA: 659min
  Step 1150/35420 (3.2%) | Loss: 1.3734 | Tempo: 1.1s | ETA: 658min
  Step 1200/35420 (3.4%) | Loss: 1.3928 | Tempo: 1.1s | ETA: 656min
  Step 1250/35420 (3.5%) | Loss: 1.2267 | Tempo: 1.1s | ETA: 654min
  Step 1300/35420 (3.7%) | Loss: 1.3575 | Tempo: 1.1s | ETA: 653min
  Step 1350/35420 (3.8%) | Loss: 1.2480 | Tempo: 1.1s | ETA: 652min
  Step 1400/35420 (4.0%) | Loss: 1.2433 | Tempo: 1.1s | ETA: 651min
  Step 1450/35420 (4.1%) | Loss: 0.9906 | Tempo: 1.1s | ETA: 651min
  Step 1500/35420 (4.2%) | Loss: 1.4130 | Tempo: 0.8s | ETA: 652min
  Step 1550/35420 (4.4%) | Loss: 1.1496 | Tempo: 0.9s | ETA: 644min
  Step 1600/35420 (4.5%) | Loss: 0.8628 | Tempo: 0.8s | ETA: 637min
  Step 1650/35420 (4.7%) | Loss: 1.1072 | Tempo: 0.7s | ETA: 631min
  Step 1700/35420 (4.8%) | Loss: 1.1014 | Tempo: 0.8s | ETA: 624min
  Step 1750/35420 (4.9%) | Loss: 1.3403 | Tempo: 0.8s | ETA: 618min
  Step 1800/35420 (5.1%) | Loss: 1.0439 | Tempo: 0.7s | ETA: 613min
  Step 1850/35420 (5.2%) | Loss: 1.0557 | Tempo: 0.8s | ETA: 607min
  Step 1900/35420 (5.4%) | Loss: 1.0677 | Tempo: 1.2s | ETA: 607min
  Step 1950/35420 (5.5%) | Loss: 1.1944 | Tempo: 1.2s | ETA: 606min
  Step 2000/35420 (5.6%) | Loss: 0.8298 | Tempo: 1.1s | ETA: 606min
  Step 2050/35420 (5.8%) | Loss: 0.8387 | Tempo: 1.1s | ETA: 606min
  Step 2100/35420 (5.9%) | Loss: 0.8802 | Tempo: 1.1s | ETA: 605min
  Step 2150/35420 (6.1%) | Loss: 0.9788 | Tempo: 1.2s | ETA: 605min
  Step 2200/35420 (6.2%) | Loss: 0.9770 | Tempo: 1.1s | ETA: 606min
  Step 2250/35420 (6.4%) | Loss: 1.3927 | Tempo: 1.2s | ETA: 606min
  Step 2300/35420 (6.5%) | Loss: 0.8542 | Tempo: 1.1s | ETA: 605min
  Step 2350/35420 (6.6%) | Loss: 1.0001 | Tempo: 1.1s | ETA: 605min
  Step 2400/35420 (6.8%) | Loss: 1.0529 | Tempo: 1.1s | ETA: 604min
  Step 2450/35420 (6.9%) | Loss: 0.9357 | Tempo: 1.1s | ETA: 604min
  Step 2500/35420 (7.1%) | Loss: 0.9951 | Tempo: 1.1s | ETA: 604min
  Step 2550/35420 (7.2%) | Loss: 1.0140 | Tempo: 1.1s | ETA: 604min
  Step 2600/35420 (7.3%) | Loss: 0.9074 | Tempo: 1.2s | ETA: 603min
  Step 2650/35420 (7.5%) | Loss: 0.9963 | Tempo: 1.1s | ETA: 603min
  Step 2700/35420 (7.6%) | Loss: 0.8017 | Tempo: 1.1s | ETA: 603min
  Step 2750/35420 (7.8%) | Loss: 0.9889 | Tempo: 1.1s | ETA: 602min
  Step 2800/35420 (7.9%) | Loss: 1.0367 | Tempo: 1.1s | ETA: 602min
  Step 2850/35420 (8.0%) | Loss: 0.8871 | Tempo: 1.1s | ETA: 602min
  Step 2900/35420 (8.2%) | Loss: 0.9691 | Tempo: 1.1s | ETA: 601min
  Step 2950/35420 (8.3%) | Loss: 0.7761 | Tempo: 1.1s | ETA: 601min
  Step 3000/35420 (8.5%) | Loss: 1.0601 | Tempo: 1.1s | ETA: 601min
  Step 3050/35420 (8.6%) | Loss: 1.1162 | Tempo: 1.3s | ETA: 600min
  Step 3100/35420 (8.8%) | Loss: 0.8035 | Tempo: 1.4s | ETA: 601min
  Step 3150/35420 (8.9%) | Loss: 0.9087 | Tempo: 1.1s | ETA: 600min
