==================================================
BRANPY MODEL — TREINO DO ZERO
Tamanho: small | Epochs: 20 | LR: 0.0003
Max len: 256 | Vocab: 8000
==================================================

[1/6] Gerando corpus proprio...
  444 linhas geradas

[2/6] Treinando tokenizer BPE proprio...
[Tokenizer] Treinando BPE com vocab_size=8000
[Tokenizer] Corpus: 444 textos
[Tokenizer] Vocab final: 607 tokens
[Tokenizer] Salvo em weights/bran9bpy_scratch\tokenizer.json
  Vocab final: 607 tokens

[3/6] Criando modelo transformer do zero...
[Model] BranPy-5.0M — 6 layers, 256d, 8h
  Parametros: 5,025,536 (5.03M)

[4/6] Preparando dataset...
  444 exemplos, 111 batches

[5/6] Treinando...
  Step 1/2220 (0.0%) | Loss: 6.4111 | Tempo: 1.6s | ETA: 60min
  Step 10/2220 (0.5%) | Loss: 4.2377 | Tempo: 1.3s | ETA: 46min
  Step 20/2220 (0.9%) | Loss: 3.3469 | Tempo: 1.2s | ETA: 44min
  Step 30/2220 (1.4%) | Loss: 3.2469 | Tempo: 1.2s | ETA: 43min
  Step 40/2220 (1.8%) | Loss: 3.0977 | Tempo: 1.0s | ETA: 42min
  Step 50/2220 (2.3%) | Loss: 3.2690 | Tempo: 1.0s | ETA: 42min
  Step 60/2220 (2.7%) | Loss: 3.1545 | Tempo: 1.1s | ETA: 42min
  Step 70/2220 (3.2%) | Loss: 3.1773 | Tempo: 1.3s | ETA: 42min
  Step 80/2220 (3.6%) | Loss: 2.0405 | Tempo: 1.2s | ETA: 42min
  Step 90/2220 (4.1%) | Loss: 2.6410 | Tempo: 1.6s | ETA: 42min
  Step 100/2220 (4.5%) | Loss: 2.7739 | Tempo: 1.4s | ETA: 42min
  Step 110/2220 (5.0%) | Loss: 2.2654 | Tempo: 1.1s | ETA: 42min

  Epoch 1/20 | Loss media: 3.2052 | Melhor: 2.0405 | Tempo: 2.2min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch1.pt
  Step 120/2220 (5.4%) | Loss: 2.8183 | Tempo: 1.2s | ETA: 44min
  Step 130/2220 (5.9%) | Loss: 2.2298 | Tempo: 1.1s | ETA: 44min
  Step 140/2220 (6.3%) | Loss: 1.7365 | Tempo: 1.1s | ETA: 43min
  Step 150/2220 (6.8%) | Loss: 2.3759 | Tempo: 1.0s | ETA: 43min
  Step 160/2220 (7.2%) | Loss: 2.8201 | Tempo: 1.1s | ETA: 42min
  Step 170/2220 (7.7%) | Loss: 2.6667 | Tempo: 1.0s | ETA: 42min
  Step 180/2220 (8.1%) | Loss: 2.3904 | Tempo: 1.1s | ETA: 42min
  Step 190/2220 (8.6%) | Loss: 2.0099 | Tempo: 1.1s | ETA: 41min
  Step 200/2220 (9.0%) | Loss: 2.2330 | Tempo: 1.1s | ETA: 41min
  Step 210/2220 (9.5%) | Loss: 1.6810 | Tempo: 1.2s | ETA: 41min
  Step 220/2220 (9.9%) | Loss: 1.7007 | Tempo: 1.1s | ETA: 40min

  Epoch 2/20 | Loss media: 2.2891 | Melhor: 1.5914 | Tempo: 4.5min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch2.pt
  Step 230/2220 (10.4%) | Loss: 2.0096 | Tempo: 1.0s | ETA: 40min
  Step 240/2220 (10.8%) | Loss: 1.6491 | Tempo: 1.3s | ETA: 40min
  Step 250/2220 (11.3%) | Loss: 2.1273 | Tempo: 1.1s | ETA: 40min
