============================================================
BRANPY - TREINO PROGRESSIVO 100M -> 500M
============================================================

Gerando corpus...
  444 linhas

Treinando tokenizer...
[Tokenizer] Treinando BPE com vocab_size=16000
[Tokenizer] Corpus: 444 textos
[Tokenizer] Vocab final: 611 tokens
[Tokenizer] Salvo em D:\BRANPY-AI\from_scratch\..\weights\bran9bpy_progressive\tokenizer.json
  Vocab: 611 tokens

############################################################
# INICIANDO STAGE 1/5: 100M
############################################################

============================================================
STAGE 1: 100M
Layers: 12 | D: 512 | Heads: 8
Epochs: 15
============================================================
[Model] BranPy-38.3M — 12 layers, 512d, 8h
  Parametros: 38,273,536 (38.3M)
  444 exemplos, 444 batches/epoch
  Step 1/6660 (0.0%) | Loss: 6.4051 | 1.5s/step | ETA: 169min
  Step 10/6660 (0.2%) | Loss: 4.4102 | 1.3s/step | ETA: 149min
  Step 20/6660 (0.3%) | Loss: 3.1939 | 1.5s/step | ETA: 147min
  Step 30/6660 (0.5%) | Loss: 4.1084 | 1.3s/step | ETA: 147min
  Step 40/6660 (0.6%) | Loss: 1.7611 | 1.5s/step | ETA: 147min
  Step 50/6660 (0.8%) | Loss: 3.9762 | 1.4s/step | ETA: 147min
  Step 60/6660 (0.9%) | Loss: 2.2487 | 1.6s/step | ETA: 148min
  Step 70/6660 (1.1%) | Loss: 3.7228 | 1.3s/step | ETA: 147min
  Step 80/6660 (1.2%) | Loss: 2.2938 | 1.5s/step | ETA: 147min
  Step 90/6660 (1.4%) | Loss: 1.6708 | 1.4s/step | ETA: 148min
  Step 100/6660 (1.5%) | Loss: 3.0349 | 1.7s/step | ETA: 148min
  Step 110/6660 (1.7%) | Loss: 1.0376 | 0.9s/step | ETA: 147min
  Step 120/6660 (1.8%) | Loss: 2.5356 | 1.0s/step | ETA: 144min
  Step 130/6660 (2.0%) | Loss: 2.7223 | 0.9s/step | ETA: 140min
  Step 140/6660 (2.1%) | Loss: 2.5209 | 1.0s/step | ETA: 137min
  Step 150/6660 (2.3%) | Loss: 2.9362 | 0.9s/step | ETA: 135min
  Step 160/6660 (2.4%) | Loss: 1.9253 | 1.1s/step | ETA: 132min
  Step 170/6660 (2.6%) | Loss: 2.6443 | 1.0s/step | ETA: 131min
  Step 180/6660 (2.7%) | Loss: 0.6959 | 1.1s/step | ETA: 129min
  Step 190/6660 (2.9%) | Loss: 2.4983 | 1.5s/step | ETA: 129min
  Step 200/6660 (3.0%) | Loss: 4.5506 | 1.8s/step | ETA: 130min
  Step 210/6660 (3.2%) | Loss: 2.9772 | 1.3s/step | ETA: 131min
  Step 220/6660 (3.3%) | Loss: 2.9809 | 1.6s/step | ETA: 133min
  Step 230/6660 (3.5%) | Loss: 3.0539 | 1.5s/step | ETA: 133min
  Step 240/6660 (3.6%) | Loss: 4.7368 | 1.0s/step | ETA: 134min
  Step 250/6660 (3.8%) | Loss: 3.1962 | 0.9s/step | ETA: 132min
  Step 260/6660 (3.9%) | Loss: 1.9930 | 1.1s/step | ETA: 131min
  Step 270/6660 (4.1%) | Loss: 2.7618 | 1.1s/step | ETA: 130min
  Step 280/6660 (4.2%) | Loss: 3.3556 | 1.2s/step | ETA: 129min
  Step 290/6660 (4.4%) | Loss: 2.0606 | 0.9s/step | ETA: 128min
  Step 300/6660 (4.5%) | Loss: 2.8634 | 1.1s/step | ETA: 126min
  Step 310/6660 (4.7%) | Loss: 4.2429 | 1.0s/step | ETA: 125min
  Step 320/6660 (4.8%) | Loss: 3.0975 | 1.1s/step | ETA: 125min
  Step 330/6660 (5.0%) | Loss: 2.1106 | 0.9s/step | ETA: 124min
  Step 340/6660 (5.1%) | Loss: 2.6780 | 1.0s/step | ETA: 123min
  Step 350/6660 (5.3%) | Loss: 2.4562 | 0.9s/step | ETA: 122min
  Step 360/6660 (5.4%) | Loss: 2.6226 | 1.0s/step | ETA: 121min
  Step 370/6660 (5.6%) | Loss: 1.8402 | 0.9s/step | ETA: 120min
  Step 380/6660 (5.7%) | Loss: 2.6578 | 1.0s/step | ETA: 119min
  Step 390/6660 (5.9%) | Loss: 1.9137 | 0.9s/step | ETA: 119min
  Step 400/6660 (6.0%) | Loss: 2.8716 | 1.0s/step | ETA: 118min
  Step 410/6660 (6.2%) | Loss: 1.9994 | 0.9s/step | ETA: 117min
  Step 420/6660 (6.3%) | Loss: 1.8164 | 1.0s/step | ETA: 116min
  Step 430/6660 (6.5%) | Loss: 3.4602 | 0.9s/step | ETA: 116min
  Step 440/6660 (6.6%) | Loss: 3.3630 | 1.0s/step | ETA: 115min

  Epoch 1/15 | Loss: 2.7382 | Melhor: 0.6647 | 8.2min
  Step 450/6660 (6.8%) | Loss: 2.4720 | 0.9s/step | ETA: 114min
  Step 460/6660 (6.9%) | Loss: 1.6743 | 1.0s/step | ETA: 114min
  Step 470/6660 (7.1%) | Loss: 1.7522 | 1.0s/step | ETA: 113min
  Step 480/6660 (7.2%) | Loss: 2.8652 | 1.0s/step | ETA: 113min
  Step 490/6660 (7.4%) | Loss: 2.9948 | 0.9s/step | ETA: 112min
  Step 500/6660 (7.5%) | Loss: 2.5361 | 1.0s/step | ETA: 112min
  Step 510/6660 (7.7%) | Loss: 1.3770 | 0.9s/step | ETA: 111min
  Step 520/6660 (7.8%) | Loss: 2.7598 | 1.0s/step | ETA: 111min
  Step 530/6660 (8.0%) | Loss: 2.7243 | 0.9s/step | ETA: 110min
  Step 540/6660 (8.1%) | Loss: 2.4437 | 1.0s/step | ETA: 110min
  Step 550/6660 (8.3%) | Loss: 2.0829 | 0.9s/step | ETA: 109min
  Step 560/6660 (8.4%) | Loss: 2.4523 | 1.0s/step | ETA: 109min
  Step 570/6660 (8.6%) | Loss: 1.4075 | 1.0s/step | ETA: 108min
  Step 580/6660 (8.7%) | Loss: 1.8278 | 1.0s/step | ETA: 108min
  Step 590/6660 (8.9%) | Loss: 1.8410 | 0.9s/step | ETA: 107min
  Step 600/6660 (9.0%) | Loss: 1.5477 | 1.0s/step | ETA: 107min
  Step 610/6660 (9.2%) | Loss: 2.3493 | 0.9s/step | ETA: 107min
  Step 620/6660 (9.3%) | Loss: 1.8228 | 1.4s/step | ETA: 106min
  Step 630/6660 (9.5%) | Loss: 2.0934 | 1.1s/step | ETA: 106min
  Step 640/6660 (9.6%) | Loss: 1.5914 | 1.0s/step | ETA: 105min
  Step 650/6660 (9.8%) | Loss: 2.0236 | 0.9s/step | ETA: 105min
  Step 660/6660 (9.9%) | Loss: 0.8548 | 1.1s/step | ETA: 105min
  Step 670/6660 (10.1%) | Loss: 2.5985 | 1.0s/step | ETA: 104min
  Step 680/6660 (10.2%) | Loss: 1.7333 | 1.0s/step | ETA: 104min
  Step 690/6660 (10.4%) | Loss: 1.7401 | 1.0s/step | ETA: 104min
  Step 700/6660 (10.5%) | Loss: 0.5999 | 1.1s/step | ETA: 104min
  Step 710/6660 (10.7%) | Loss: 1.5399 | 1.0s/step | ETA: 103min
  Step 720/6660 (10.8%) | Loss: 2.7803 | 1.0s/step | ETA: 103min
  Step 730/6660 (11.0%) | Loss: 2.7079 | 1.5s/step | ETA: 103min
  Step 740/6660 (11.1%) | Loss: 0.6455 | 1.5s/step | ETA: 103min
  Step 750/6660 (11.3%) | Loss: 1.1877 | 1.3s/step | ETA: 104min
  Step 760/6660 (11.4%) | Loss: 2.9656 | 1.5s/step | ETA: 104min
  Step 770/6660 (11.6%) | Loss: 1.2951 | 1.3s/step | ETA: 104min
  Step 780/6660 (11.7%) | Loss: 2.0708 | 1.4s/step | ETA: 104min
  Step 790/6660 (11.9%) | Loss: 3.5105 | 1.2s/step | ETA: 104min
  Step 800/6660 (12.0%) | Loss: 2.8418 | 1.4s/step | ETA: 104min
  Step 810/6660 (12.2%) | Loss: 1.6160 | 1.3s/step | ETA: 104min
  Step 820/6660 (12.3%) | Loss: 3.2250 | 1.4s/step | ETA: 104min
  Step 830/6660 (12.5%) | Loss: 3.1933 | 1.2s/step | ETA: 105min
  Step 840/6660 (12.6%) | Loss: 1.8196 | 1.4s/step | ETA: 105min
  Step 850/6660 (12.8%) | Loss: 3.0764 | 1.3s/step | ETA: 105min
  Step 860/6660 (12.9%) | Loss: 2.5619 | 1.4s/step | ETA: 105min
  Step 870/6660 (13.1%) | Loss: 1.6186 | 1.3s/step | ETA: 105min
  Step 880/6660 (13.2%) | Loss: 0.9175 | 1.4s/step | ETA: 105min

  Epoch 2/15 | Loss: 2.1164 | Melhor: 0.4255 | 16.1min
  Step 890/6660 (13.4%) | Loss: 1.5702 | 1.3s/step | ETA: 105min
  Step 900/6660 (13.5%) | Loss: 2.6786 | 1.4s/step | ETA: 105min
  Step 910/6660 (13.7%) | Loss: 1.7178 | 1.3s/step | ETA: 105min
  Step 920/6660 (13.8%) | Loss: 2.5488 | 1.4s/step | ETA: 105min
  Step 930/6660 (14.0%) | Loss: 2.4198 | 1.2s/step | ETA: 105min
  Step 940/6660 (14.1%) | Loss: 1.5061 | 1.4s/step | ETA: 105min
  Step 950/6660 (14.3%) | Loss: 2.2260 | 1.3s/step | ETA: 105min
  Step 960/6660 (14.4%) | Loss: 1.2984 | 1.3s/step | ETA: 105min
  Step 970/6660 (14.6%) | Loss: 1.2137 | 1.3s/step | ETA: 105min
  Step 980/6660 (14.7%) | Loss: 1.4890 | 1.4s/step | ETA: 105min
  Step 990/6660 (14.9%) | Loss: 2.6863 | 1.3s/step | ETA: 105min
  Step 1000/6660 (15.0%) | Loss: 2.0633 | 1.4s/step | ETA: 105min
  Step 1010/6660 (15.2%) | Loss: 1.9029 | 1.3s/step | ETA: 105min
  Step 1020/6660 (15.3%) | Loss: 1.5418 | 1.4s/step | ETA: 105min
