============================================================
BRANPY AI — TREINO V2 (BPE Tokenizer)
============================================================
Tokenizador carregado: 16000 tokens
Pares Q/A únicos: 25645
Treino: 23080 | Validação: 2565
Dataset: 23080 exemplos, max_len=256
Batches por época: 2885
Modelo: 16.9M parâmetros, vocab=16000, d=384, layers=6, heads=6

Treinando 30 épocas...
============================================================
[1/30] 0/2885 | Loss: 220.4389 | ETA: 0.0min
[1/30] 100/2885 | Loss: 10.0690 | ETA: 175.2min
[1/30] 200/2885 | Loss: 6.4849 | ETA: 153.0min
[1/30] 300/2885 | Loss: 4.9428 | ETA: 137.0min
[1/30] 400/2885 | Loss: 5.8219 | ETA: 126.7min
[1/30] 500/2885 | Loss: 2.9205 | ETA: 118.9min
[1/30] 600/2885 | Loss: 5.9917 | ETA: 111.9min
[1/30] 700/2885 | Loss: 7.9829 | ETA: 105.7min
[1/30] 800/2885 | Loss: 2.5765 | ETA: 100.0min
[1/30] 900/2885 | Loss: 6.4098 | ETA: 94.7min
[1/30] 1000/2885 | Loss: 3.4747 | ETA: 89.4min
[1/30] 1100/2885 | Loss: 2.2625 | ETA: 84.2min
[1/30] 1200/2885 | Loss: 2.4541 | ETA: 79.1min
[1/30] 1300/2885 | Loss: 4.1572 | ETA: 74.1min
[1/30] 1400/2885 | Loss: 2.8122 | ETA: 69.3min
[1/30] 1500/2885 | Loss: 6.8441 | ETA: 64.5min
[1/30] 1600/2885 | Loss: 5.1391 | ETA: 59.7min
[1/30] 1700/2885 | Loss: 1.6374 | ETA: 54.9min
[1/30] 1800/2885 | Loss: 3.8574 | ETA: 50.2min
[1/30] 1900/2885 | Loss: 4.4310 | ETA: 45.5min
[1/30] 2000/2885 | Loss: 3.0284 | ETA: 40.8min
[1/30] 2100/2885 | Loss: 2.7001 | ETA: 36.1min
[1/30] 2200/2885 | Loss: 4.3851 | ETA: 31.5min
[1/30] 2300/2885 | Loss: 6.0461 | ETA: 26.9min
[1/30] 2400/2885 | Loss: 1.4855 | ETA: 22.2min
[1/30] 2500/2885 | Loss: 2.8280 | ETA: 17.6min
[1/30] 2600/2885 | Loss: 5.4151 | ETA: 13.0min
[1/30] 2700/2885 | Loss: 1.4120 | ETA: 8.4min
[1/30] 2800/2885 | Loss: 2.4679 | ETA: 3.8min

Época 1 | Loss: 5.1200 | Tempo: 132.0min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M V M M M M 
  Best Loss: 5.1200

[2/30] 0/2885 | Loss: 3.8000 | ETA: 0.0min
[2/30] 100/2885 | Loss: 3.4666 | ETA: 124.8min
[2/30] 200/2885 | Loss: 3.9670 | ETA: 120.6min
[2/30] 300/2885 | Loss: 2.4752 | ETA: 115.9min
[2/30] 400/2885 | Loss: 3.6052 | ETA: 112.9min
[2/30] 500/2885 | Loss: 1.2584 | ETA: 109.0min
[2/30] 600/2885 | Loss: 1.4940 | ETA: 104.2min
[2/30] 700/2885 | Loss: 4.2396 | ETA: 99.5min
[2/30] 800/2885 | Loss: 1.0890 | ETA: 94.8min
[2/30] 900/2885 | Loss: 3.5155 | ETA: 90.6min
[2/30] 1000/2885 | Loss: 2.2456 | ETA: 86.0min
[2/30] 1100/2885 | Loss: 4.2193 | ETA: 81.3min
[2/30] 1200/2885 | Loss: 1.9201 | ETA: 76.7min
[2/30] 1300/2885 | Loss: 1.5245 | ETA: 72.2min
[2/30] 1400/2885 | Loss: 1.3392 | ETA: 67.6min
[2/30] 1500/2885 | Loss: 0.9961 | ETA: 62.9min
[2/30] 1600/2885 | Loss: 1.5606 | ETA: 58.4min
[2/30] 1700/2885 | Loss: 1.1754 | ETA: 53.8min
[2/30] 1800/2885 | Loss: 1.0304 | ETA: 49.2min
[2/30] 1900/2885 | Loss: 3.9705 | ETA: 44.7min
[2/30] 2000/2885 | Loss: 2.0643 | ETA: 40.1min
[2/30] 2100/2885 | Loss: 2.0133 | ETA: 35.6min
[2/30] 2200/2885 | Loss: 2.6267 | ETA: 31.0min
[2/30] 2300/2885 | Loss: 1.6693 | ETA: 26.5min
[2/30] 2400/2885 | Loss: 1.1510 | ETA: 22.2min
[2/30] 2500/2885 | Loss: 1.8956 | ETA: 17.8min
[2/30] 2600/2885 | Loss: 1.0665 | ETA: 13.1min
[2/30] 2700/2885 | Loss: 1.3223 | ETA: 8.5min
[2/30] 2800/2885 | Loss: 3.3220 | ETA: 3.9min

Época 2 | Loss: 2.2574 | Tempo: 133.0min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : M M M M M M M M M M M M M M M M M M M N M M M M M M M M M M M M M M M M M N M M 
  Best Loss: 2.2574

[3/30] 0/2885 | Loss: 3.0156 | ETA: 0.0min
[3/30] 100/2885 | Loss: 2.1840 | ETA: 124.6min
[3/30] 200/2885 | Loss: 1.1994 | ETA: 119.7min
[3/30] 300/2885 | Loss: 1.8201 | ETA: 115.3min
[3/30] 400/2885 | Loss: 2.3010 | ETA: 110.9min
